arun@arun-h110:~/git/Text_frequency_research$ ./a.out RC_2013-04.zst 250000 4096 test.ix
Csz: 250000, pgsz: 4096
10988 100001502009=280567+736357+547318 724428 11488705 14.2986
22023 200002970299=556558+1459020+1077812 1304000 21520925 14.972
33024 300004455591=837142+2190955+1612898 1859509 31399521 17.0622
44043 400006021768=1126498+2950354+2194339 2413594 41385127 19.1442
55121 500007457432=1399039+3657323+2711810 2911567 50455271 16.4177
66115 600008882525=1666288+4349737+3237298 3385529 59177558 15.784
77117 7000010323681=1938542+5063745+3753209 3866943 68067889 16.2838
88102 8000011702242=2200826+5741136+4250267 4317541 76421412 15.4295
99095 9000013139065=2468368+6445510+4774403 4781230 85047761 15.7763
110113 10000014570300=2739305+7152735+5287868 5233852 93548450 16.2909
121109 11000015981984=3006512+7851613+5792984 5680743 101973068 16.5958
132028 12000017532484=3286822+8590277+6386159 6134464 110568395 18.2461
142990 13000018986448=3562710+9311119+6905248 6579990 119045918 17.6592
153925 14000020474477=3841729+10051396+7435263 7031485 127656306 18.5261
164855 15000021982251=4126056+10796461+7976893 7487354 136380943 18.3843
175812 16000023584909=4417148+11560934+8588302 7950316 145256002 18.4763
186797 17000025060643=4694278+12291216+9118384 8394369 153758386 17.6744
197847 18000026594805=4977567+13035840+9687961 8841770 162371776 18.8979
208776 19000028107430=5261667+13783743+10232285 9285053 170942349 19.0602
219728 20000029612928=5546285+14529981+10770299 9723903 179428839 19.3135
230584 21000031176719=5839236+15302598+11333221 10175015 188163605 20.0174
241548 22000032683216=6122373+16045650+11876729 10610842 196619592 19.4026
252514 23000034281334=6415992+16823378+12467909 11064622 205434477 19.0556
263483 24000035779646=6698842+17564571+13004988 11494774 213795605 18.6598
274496 25000037310769=6986369+18323484+13553505 11932058 222359802 19.5372
285461 26000038803051=7268863+19066410+14083606 12356519 230660924 19.5035
296415 27000040291660=7548931+19800727+14620226 12777970 238892561 19.8873
307437 28000041798390=7832680+20548382+15159093 13201824 247196867 20.5705
318462 29000043400958=8135339+21341253+15733409 13653901 256015581 22.2239
329483 30000045028067=8442234+22155263+16308545 14117159 265110225 20.3777
340525 31000046615498=8738046+22934138+16886727 14555265 273682033 20.5553
351480 32000048198444=9038935+23721499+17447383 14991615 282250655 21.1571
362496 33000049733444=9330284+24482692+17993474 15416975 290564237 20.958
373551 34000051290420=9626097+25253246+18550462 15847763 298996338 21.6239
384689 35000052863841=9922129+26021395+19125405 16284305 307559202 21.8191
395874 36000054481113=10221859+26805577+19724920 16735237 316371214 22.2261
406862 37000056127737=10531055+27599843+20335875 17190097 325283378 22.0657
417894 38000057710652=10827571+28373736+20913921 17631263 333906410 21.7703
428912 39000059267668=11118998+29134387+21483671 18060871 342338475 21.7249
439874 40000060798949=11403897+29878773+22048738 18476715 350486455 21.6596
450859 41000062344803=11692810+30638301+22610561 18901107 358833305 22.3629
461847 42000063844431=11974358+31373784+23155226 19310242 366871397 21.8083
472807 43000065437780=12274970+32155539+23733015 19740972 375381579 22.653
483790 44000067045767=12575174+32948774+24314528 20179479 384041011 22.3761
494708 45000068699472=12883619+33764275+24912530 20625676 392892654 23.7757
505590 46000070351532=13192036+34579703+25508940 21071218 401750774 24.4033
516566 47000071990802=13497983+35383004+26106829 21508583 410470599 24.5769
527520 48000073645399=13806248+36198720+26705964 21953062 419288194 25.0001
538466 49000075322036=14118226+37019796+27319560 22398801 428130274 25.5202
549399 50000077023425=14443739+37852951+27939452 22849963 437066010 25.0722
560288 51000078683779=14754211+38673947+28537979 23287498 445791427 24.1318
571192 52000080352712=15063905+39495351+29144443 23729343 454656302 24.799
582148 53000082036336=15378372+40322769+29756566 24172076 463508781 25.3013
593039 54000083771290=15699382+41171815+30392891 24620123 472537798 26.2899
604123 55000085292841=15985696+41911091+30952926 25012387 480336164 23.3906
615220 56000086578406=16228956+42541143+31420369 25342477 486883744 19.5519
626410 57000087844101=16466215+43152805+31889826 25663505 493289872 16.0836
637646 58000089076810=16700413+43755344+32338702 25976536 499495435 14.4786
648847 59000090374030=16941574+44376422+32827115 26289582 505701515 15.2783
660023 60000091532382=17161983+44938682+33251932 26579773 511446607 13.9212
671169 61000092677881=17380618+45496976+33670550 26865997 517144192 13.8547
682330 62000093822077=17600425+46050280+34090645 27149489 522766145 14.0563
693457 63000095055697=17831544+46649550+34545330 27449102 528739203 15.9215
704731 64000096294487=18063003+47246521+35007532 27750584 534759814 15.7414
715916 65000097439920=18281492+47802828+35427035 28032740 540355475 13.759
727122 66000098670868=18515586+48399959+35879326 28332960 546327288 14.4938
738273 67000099875743=18744879+48985343+36321344 28627479 552181582 14.6099
749495 680000101042383=18969139+49551143+36748337 28909093 557758352 14.3547
760693 690000102254980=19199662+50136770+37196455 29208074 563672417 15.273
771972 700000103465720=19428892+50723315+37642786 29504619 569604261 15.4307
783287 710000104639900=19653350+51296043+38070532 29791070 575306361 15.194
794503 720000105795637=19874772+51860524+38490375 30074285 580941618 15.3491
